step,vehicle_count,total_waiting,avg_travel_time,strategy
582,115,67,223.77956989247312,baseline
583,115,68,224.3978494623656,baseline
584,117,66,222.63297872340425,baseline
585,117,67,223.25531914893617,baseline
586,117,67,223.87765957446808,baseline
587,117,66,224.5,baseline
588,117,66,225.12234042553192,baseline
589,117,66,225.74468085106383,baseline
590,117,68,226.36702127659575,baseline
591,117,69,226.98936170212767,baseline
592,119,71,225.2263157894737,baseline
593,119,69,225.85263157894738,baseline
594,119,69,226.47894736842105,baseline
595,119,70,227.10526315789474,baseline
596,119,68,227.73157894736843,baseline
597,119,68,228.3578947368421,baseline
598,119,69,228.9842105263158,baseline
599,119,71,229.61052631578949,baseline
600,122,72,225.51030927835052,baseline
601,122,74,226.1443298969072,baseline
602,122,72,226.77835051546393,baseline
603,122,73,227.41237113402062,baseline
604,122,74,228.0463917525773,baseline
605,122,72,228.68041237113403,baseline
606,122,73,229.31443298969072,baseline
607,122,75,229.94845360824743,baseline
608,124,74,228.23979591836735,baseline
609,124,76,228.87755102040816,baseline
610,124,76,229.51530612244898,baseline
611,124,76,230.1530612244898,baseline
612,124,75,230.7908163265306,baseline
613,124,76,231.42857142857142,baseline
614,123,77,232.0612244897959,baseline
615,123,77,232.69387755102042,baseline
616,125,77,230.9747474747475,baseline
617,124,76,231.6010101010101,baseline
618,124,78,232.22727272727272,baseline
619,124,78,232.85353535353536,baseline
620,123,77,233.4747474747475,baseline
621,123,79,234.09595959595958,baseline
622,122,81,234.71212121212122,baseline
623,122,80,235.32828282828282,baseline
624,123,82,233.595,baseline
625,123,81,234.21,baseline
626,123,79,234.825,baseline
627,122,81,235.435,baseline
628,122,81,236.045,baseline
629,121,80,236.65,baseline
630,123,82,234.91584158415841,baseline
631,123,80,235.52475247524754,baseline
632,125,80,233.82843137254903,baseline
633,125,81,234.44117647058823,baseline
634,125,82,235.05392156862746,baseline
635,125,85,235.66666666666666,baseline
636,125,85,236.27941176470588,baseline
637,125,86,236.8921568627451,baseline
638,125,86,237.5049019607843,baseline
639,124,86,238.11274509803923,baseline
640,126,84,236.4126213592233,baseline
641,126,83,237.0242718446602,baseline
642,126,82,237.6359223300971,baseline
643,126,80,238.24757281553397,baseline
644,126,80,238.85922330097088,baseline
645,126,79,239.47087378640776,baseline
646,126,77,240.08252427184465,baseline
647,126,77,240.69417475728156,baseline
648,128,76,238.99519230769232,baseline
649,128,74,239.61057692307693,baseline
650,128,76,240.22596153846155,baseline
651,128,77,240.84134615384616,baseline
652,128,74,241.45673076923077,baseline
653,128,76,242.0721153846154,baseline
654,128,76,242.6875,baseline
655,128,75,243.3028846153846,baseline
656,130,74,241.60476190476192,baseline
657,130,73,242.22380952380954,baseline
658,130,72,242.84285714285716,baseline
659,130,72,243.46190476190475,baseline
660,132,71,241.78773584905662,baseline
661,132,72,242.41037735849056,baseline
662,132,71,243.03301886792454,baseline
663,132,72,243.6556603773585,baseline
664,133,73,242.0,baseline
665,133,70,242.6214953271028,baseline
666,133,70,243.2429906542056,baseline
667,133,70,243.8644859813084,baseline
668,132,71,244.48130841121494,baseline
669,132,70,245.0981308411215,baseline
670,132,71,245.71495327102804,baseline
671,131,71,246.3271028037383,baseline
672,133,70,244.66203703703704,baseline
673,132,72,245.27314814814815,baseline
674,132,72,245.88425925925927,baseline
675,132,72,246.49537037037038,baseline
676,132,73,247.1064814814815,baseline
677,132,72,247.71759259259258,baseline
678,132,71,248.3287037037037,baseline
679,132,73,248.9398148148148,baseline
680,134,74,247.27064220183487,baseline
